,year,price,mileage,engine_size,Automatic,Manual,Other_Transmission,Semi-Auto,Diesel,Hybrid,Other_Fuel,Petrol
232,2019.0,44990,1474.0,3.0,1,0,0,0,0,0,0,1
233,2019.0,24690,15210.0,1.5,0,0,0,1,0,0,0,1
234,2017.0,18270,49783.0,2.1,0,0,0,1,1,0,0,0
235,2018.0,26625,7175.0,2.0,1,0,0,0,1,0,0,0
236,2015.0,13361,35034.0,2.0,0,0,0,1,0,0,0,1
237,2017.0,17490,35576.0,2.1,0,0,0,1,1,0,0,0
238,2019.0,26427,13888.0,2.0,1,0,0,0,1,0,0,0
239,2019.0,29290,4703.0,2.0,0,0,0,1,1,0,0,0
240,2017.0,23047,8143.0,2.1,0,0,0,1,1,0,0,0
241,2015.0,13621,57066.0,1.6,0,0,0,1,1,0,0,0
242,2017.0,18200,25296.0,2.1,0,0,0,1,1,0,0,0
243,2017.0,16991,29907.0,2.1,0,0,0,1,1,0,0,0
244,2018.0,23498,5659.0,2.0,0,0,0,1,0,0,0,1
245,2015.0,14698,23063.0,2.1,0,0,0,1,1,0,0,0
246,2013.0,9798,60948.0,2.1,0,0,0,1,1,0,0,0
247,2016.0,17998,32769.0,2.1,1,0,0,0,1,0,0,0
248,2017.0,18998,20949.0,2.1,1,0,0,0,1,0,0,0
249,2016.0,20700,27890.0,2.1,0,0,0,1,1,0,0,0
250,2015.0,16990,11954.0,2.1,0,0,0,1,1,0,0,0
251,2014.0,11791,42879.0,2.1,0,0,0,1,1,0,0,0
252,2015.0,18191,11470.0,1.6,0,0,0,1,1,0,0,0
253,2016.0,20991,26205.0,2.1,0,0,0,1,1,0,0,0
254,2017.0,13321,61305.0,1.6,0,0,0,1,1,0,0,0
255,2016.0,21998,10561.0,2.1,0,0,0,1,1,0,0,0
256,2017.0,15998,72939.0,2.0,0,0,0,1,0,1,0,0
257,2015.0,13498,31125.0,2.1,0,1,0,0,1,0,0,0
258,2017.0,20871,37194.0,2.1,0,0,0,1,1,0,0,0
259,2018.0,25891,2240.0,2.0,0,0,0,1,0,0,0,1
260,2017.0,20591,21023.0,2.1,0,0,0,1,1,0,0,0
261,2016.0,19991,35975.0,2.1,0,0,0,1,1,0,0,0
262,2015.0,15990,55226.0,2.1,0,0,0,1,1,0,0,0
263,2019.0,30055,3686.0,2.0,1,0,0,0,1,0,0,0
264,2017.0,21650,33943.0,2.0,1,0,0,0,0,0,0,1
265,2018.0,25990,9699.0,2.0,0,0,0,1,0,0,0,1
266,2017.0,17690,25059.0,2.1,0,0,0,1,1,0,0,0
267,2019.0,30950,101.0,2.0,1,0,0,0,1,0,0,0
268,2019.0,24950,7006.0,1.5,1,0,0,0,0,0,0,1
269,2015.0,14998,38671.0,2.1,0,0,0,1,1,0,0,0
270,2017.0,19798,19877.0,2.0,0,0,0,1,0,1,0,0
271,2019.0,24498,7937.0,1.5,0,0,0,1,0,0,0,1
272,2018.0,19991,20027.0,2.1,0,0,0,1,1,0,0,0
273,2017.0,21991,19953.0,2.1,0,0,0,1,1,0,0,0
274,2018.0,22591,18551.0,2.1,0,0,0,1,1,0,0,0
275,2019.0,18790,14288.0,2.1,0,0,0,1,1,0,0,0
276,2019.0,25950,10485.0,1.5,1,0,0,0,0,0,0,1
277,2020.0,29950,101.0,2.0,0,0,0,1,1,0,0,0
278,2017.0,14990,27424.0,2.1,0,0,0,1,1,0,0,0
279,2020.0,31950,2985.0,2.0,1,0,0,0,1,0,0,0
280,2016.0,20990,36051.0,2.1,0,0,0,1,1,0,0,0
281,2020.0,28990,3458.0,1.5,1,0,0,0,0,0,0,1
282,2019.0,27000,6406.0,2.0,0,0,0,1,1,0,0,0
283,2015.0,12590,65000.0,2.1,0,0,0,1,1,0,0,0
